Algorithm,Processors,Size(bytes),Avg_Latency(us)
2,176,1024,131.08
2,176,2048,178.38
2,176,4096,219.24
2,176,8192,273.16
2,176,16384,206.70
2,176,32768,253.02
2,176,65536,523.81
2,176,131072,663.14
2,176,262144,1208.08
2,176,524288,2192.16
2,176,1048576,4229.36
2,224,1,3905.76
2,224,2,92.75
2,224,4,39.13
2,224,8,44.83
2,224,16,45.66
2,224,32,34.96
2,224,64,64.26
2,224,128,221.33
2,224,256,487.91
2,224,512,178.68
2,224,1024,167.44
2,224,2048,224.74
2,224,4096,299.37
2,224,8192,365.21
2,224,16384,344.56
2,224,32768,325.13
2,224,65536,442.94
2,224,131072,743.23
2,224,262144,1430.31
2,224,524288,2851.98
2,224,1048576,5411.91
2,256,1,39.76
2,256,2,18.53
2,256,4,11.83
2,256,8,10.74
2,256,16,15.21
2,256,32,52.93
2,256,64,12.13
2,256,128,100.40
2,256,256,232.36
2,256,512,111.42
2,256,1024,131.38
2,256,2048,142.65
2,256,4096,268.01
2,256,8192,341.16
2,256,16384,371.92
2,256,32768,299.09
2,256,65536,534.07
2,256,131072,943.58
2,256,262144,1567.83
2,256,524288,2950.33
2,256,1048576,5932.29
5,2,1,12.40
5,2,2,0.20
5,2,4,0.20
5,2,8,0.20
5,2,16,0.20
5,2,32,0.24
5,2,64,0.17
5,2,128,1.75
5,2,256,9.80
5,2,512,1.44
5,2,1024,1.45
5,2,2048,1.47
5,2,4096,4.63
5,2,8192,4.96
5,2,16384,6.62
5,2,32768,8.94
5,2,65536,8.56
5,2,131072,15.14
5,2,262144,23.78
5,2,524288,48.14
5,2,1048576,83.58
5,4,1,0.91
5,4,2,0.26
5,4,4,0.23
5,4,8,0.22
5,4,16,0.21
5,4,32,1.08
5,4,64,0.20
5,4,128,2.62
5,4,256,2.83
5,4,512,2.55
5,4,1024,2.77
5,4,2048,7.75
5,4,4096,8.50
5,4,8192,11.12
5,4,16384,6.30
5,4,32768,17.06
5,4,65536,15.31
5,4,131072,21.69
5,4,262144,40.39
5,4,524288,73.14
5,4,1048576,149.34
5,8,1,252.29
5,8,2,1.16
5,8,4,0.89
5,8,8,0.80
5,8,16,0.95
5,8,32,3.77
5,8,64,1.73
5,8,128,13.85
5,8,256,5.55
5,8,512,7.82
5,8,1024,5.41
5,8,2048,13.44
5,8,4096,16.73
5,8,8192,17.59
5,8,16384,16.54
5,8,32768,24.65
5,8,65536,43.49
5,8,131072,68.88
5,8,262144,119.51
5,8,524288,243.92
5,8,1048576,475.58
5,16,1,1.83
5,16,2,1.18
5,16,4,2.74
5,16,8,3.96
5,16,16,1.22
5,16,32,1.71
5,16,64,1.46
5,16,128,9.03
5,16,256,6.22
5,16,512,8.80
5,16,1024,8.49
5,16,2048,16.30
5,16,4096,21.49
5,16,8192,26.71
5,16,16384,23.47
5,16,32768,37.89
5,16,65536,73.27
5,16,131072,140.88
5,16,262144,290.15
5,16,524288,544.80
5,16,1048576,1029.37
5,32,1,4.22
5,32,2,20.90
5,32,4,3.31
5,32,8,6.54
5,32,16,4.26
5,32,32,3.31
5,32,64,5.55
5,32,128,19.94
5,32,256,15.85
5,32,512,25.55
5,32,1024,18.92
5,32,2048,36.64
5,32,4096,42.52
5,32,8192,57.81
5,32,16384,46.76
5,32,32768,74.36
5,32,65536,157.31
5,32,131072,286.99
5,32,262144,571.11
5,32,524288,1064.78
5,32,1048576,2036.87
5,48,1,109.21
5,48,2,20.26
5,48,4,11.81
5,48,8,14.20
5,48,16,8.19
5,48,32,8.03
5,48,64,17.15
5,48,128,51.25
5,48,256,30.38
5,48,512,22.91
5,48,1024,40.78
5,48,2048,51.35
5,48,4096,53.58
5,48,8192,70.19
5,48,16384,68.54
5,48,32768,105.06
5,48,65536,373.41
5,48,131072,396.32
5,48,262144,769.27
5,48,524288,1434.19
5,48,1048576,2761.93
5,64,1,11.76
5,64,2,27.32
5,64,4,14.34
5,64,8,10.01
5,64,16,8.41
5,64,32,6.55
5,64,64,20.84
5,64,128,23.84
5,64,256,29.78
5,64,512,28.85
5,64,1024,34.67
5,64,2048,37.64
5,64,4096,61.72
5,64,8192,84.61
5,64,16384,76.29
5,64,32768,132.17
5,64,65536,236.24
5,64,131072,482.13
5,64,262144,949.67
5,64,524288,1825.50
5,64,1048576,3051.25
5,96,1,4.13
5,96,2,40.11
5,96,4,14.93
5,96,8,9.24
5,96,16,8.99
5,96,32,10.42
5,96,64,55.26
5,96,128,21.57
5,96,256,40.15
5,96,512,32.38
5,96,1024,47.41
5,96,2048,46.40
5,96,4096,57.33
5,96,8192,76.37
5,96,16384,104.89
5,96,32768,222.08
5,96,65536,412.07
5,96,131072,760.40
5,96,262144,1409.91
5,96,524288,2668.16
5,96,1048576,4897.44
5,128,1,4.83
5,128,2,40.50
5,128,4,11.73
5,128,8,9.27
5,128,16,8.59
5,128,32,10.65
5,128,64,27.26
5,128,128,24.59
5,128,256,37.80
5,128,512,29.52
5,128,1024,44.40
5,128,2048,57.55
5,128,4096,61.91
5,128,8192,94.90
5,128,16384,152.92
5,128,32768,286.16
5,128,65536,577.26
5,128,131072,1074.83
5,128,262144,2030.94
5,128,524288,3805.10
5,128,1048576,7111.39
5,176,1,1527.08
5,176,2,12.46
5,176,4,8.84
5,176,8,16.88
5,176,16,9.13
5,176,32,1398.59
5,176,64,50.31
5,176,128,34.84
5,176,256,38.01
5,176,512,49.45
5,176,1024,43.93
5,176,2048,47.13
5,176,4096,67.80
5,176,8192,151.90
5,176,16384,181.38
5,176,32768,353.32
5,176,65536,650.53
5,176,131072,1145.20
5,176,262144,2053.25
5,176,524288,3850.62
5,176,1048576,7323.49
5,224,1,2713.46
5,224,2,27.86
5,224,4,71.27
5,224,8,18.89
5,224,16,111.21
5,224,32,15.72
5,224,64,286.55
5,224,128,54.41
5,224,256,327.11
5,224,512,40.70
5,224,1024,45.28
5,224,2048,55.24
5,224,4096,95.53
5,224,8192,97.25
5,224,16384,173.62
5,224,32768,382.08
5,224,65536,686.43
5,224,131072,1168.97
5,224,262144,2196.48
5,224,524288,4527.40
5,224,1048576,8841.62
5,256,1,7.26
5,256,2,4.63
5,256,4,2.37
5,256,8,15.83
5,256,16,7.04
5,256,32,39.40
5,256,64,62.53
5,256,128,27.76
5,256,256,1027.48
5,256,512,119.58
5,256,1024,32.65
5,256,2048,39.97
5,256,4096,71.85
5,256,8192,112.91
5,256,16384,209.49
5,256,32768,376.08
5,256,65536,728.54
5,256,131072,1319.26
5,256,262144,2372.38
5,256,524288,4869.64
5,256,1048576,9778.67
0,2,1,10.06
0,2,2,0.22
0,2,4,0.16
0,2,8,0.17
0,2,16,0.15
0,2,32,0.20
0,2,64,0.20
0,2,128,1.28
0,2,256,8.35
0,2,512,1.37
0,2,1024,1.43
0,2,2048,1.63
0,2,4096,8.55
0,2,8192,5.10
0,2,16384,7.29
0,2,32768,14.92
0,2,65536,8.82
0,2,131072,14.46
0,2,262144,24.48
0,2,524288,49.43
0,2,1048576,87.73
0,4,1,2.43
0,4,2,0.30
0,4,4,0.26
0,4,8,0.19
0,4,16,0.20
0,4,32,0.20
0,4,64,0.90
0,4,128,3.27
0,4,256,8.34
0,4,512,2.85
0,4,1024,5.59
0,4,2048,5.05
0,4,4096,9.69
0,4,8192,11.21
