Algorithm,Processors,Size(bytes),Avg_Latency(us)
2,16,8192,188.15
2,16,16384,60.14
2,16,32768,74.66
2,16,65536,117.57
2,16,131072,218.86
2,16,262144,386.33
2,16,524288,760.41
2,16,1048576,1469.62
2,24,1,118.35
2,24,2,24.17
2,24,4,60.24
2,24,8,12.51
2,24,16,357.23
2,24,32,6.96
2,24,64,113.95
2,24,128,45.94
2,24,256,58.33
2,24,512,55.41
2,24,1024,62.47
2,24,2048,90.42
2,24,4096,145.95
2,24,8192,238.88
2,24,16384,646.93
2,24,32768,110.50
2,24,65536,163.99
2,24,131072,295.30
2,24,262144,479.99
2,24,524288,930.70
2,24,1048576,1849.73
2,48,1,3076.38
2,48,2,12.62
2,48,4,21.59
2,48,8,26.52
2,48,16,14.64
2,48,32,9.64
2,48,64,11.23
2,48,128,48.96
2,48,256,48.21
2,48,512,63.41
2,48,1024,72.42
2,48,2048,149.65
2,48,4096,144.10
2,48,8192,1173.51
2,48,16384,1902.24
2,48,32768,121.53
2,48,65536,167.15
2,48,131072,279.67
2,48,262144,501.21
2,48,524288,1057.53
2,48,1048576,1874.20
5,2,1,1390.31
5,2,2,0.63
5,2,4,0.62
5,2,8,0.56
5,2,16,0.62
5,2,32,0.70
5,2,64,0.74
5,2,128,6.70
5,2,256,64.02
5,2,512,7.05
5,2,1024,6.75
5,2,2048,7.12
5,2,4096,31.66
5,2,8192,26.89
5,2,16384,11.92
5,2,32768,39.54
5,2,65536,16.22
5,2,131072,25.14
5,2,262144,42.70
5,2,524288,79.77
5,2,1048576,163.04
5,4,1,5.32
5,4,2,0.84
5,4,4,1.17
5,4,8,0.81
5,4,16,0.90
5,4,32,4.58
5,4,64,0.88
5,4,128,13.42
5,4,256,13.28
5,4,512,13.39
5,4,1024,13.38
5,4,2048,26.84
5,4,4096,46.34
5,4,8192,62.04
5,4,16384,22.09
5,4,32768,28.28
5,4,65536,47.36
5,4,131072,67.21
5,4,262144,116.28
5,4,524288,230.34
5,4,1048576,419.54
5,8,1,7.55
5,8,2,2.01
